_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,what_is_the_authors_sentiment_feeling_throughout_the_post,clean_tweets,label,what_is_the_authors_sentiment_feeling_throughout_the_post_gold
2693461193,3/20/2020 13:51:50,5532367122,3/20/2020 13:27:57,false,feca,0.9,45636027,USA,NJ,Clifton,104.236.233.182,pleasant,Are year ol…,excitement,
2693461193,3/20/2020 14:00:20,5532380538,3/20/2020 13:58:07,false,clixsense,0.6,45093697,RUS,48,Moscow,109.248.222.45,pleasant,Are year ol…,excitement,
2693461193,3/20/2020 14:07:56,5532397559,3/20/2020 13:58:06,false,clixsense,0.5333,44423530,VEN,15,Santa Teresa,200.93.118.39,excitement,Are year ol…,excitement,
2693461194,3/20/2020 13:28:56,5532333736,3/20/2020 13:28:03,false,feca,1.0,45598522,USA,NY,New York,23.108.24.107,pleasant,Ho ho bringe-tastic fun next week,excitement,
2693461194,3/20/2020 13:59:29,5532378977,3/20/2020 13:58:07,false,feca,0.6,45499788,USA,AZ,Chandler,23.83.129.202,surprise,Ho ho bringe-tastic fun next week,excitement,
2693461194,3/20/2020 14:06:10,5532394314,3/20/2020 13:58:07,false,feca,0.6667,45353204,MDA,60,Balti,109.185.185.184,happy,Ho ho bringe-tastic fun next week,excitement,
2693461195,3/20/2020 13:28:30,5532333102,3/20/2020 13:27:57,false,neodev,0.8,45604336,USA,FL,Saint Petersburg,72.187.235.254,pleasant,Presenting new look Refreshing commitment create better stories greater impact enhanced…,excitement,
2693461195,3/20/2020 13:29:05,5532333921,3/20/2020 13:27:56,false,feca,0.7333,45446923,USA,VA,Manassas,172.241.236.126,pleasant,Presenting new look Refreshing commitment create better stories greater impact enhanced…,excitement,
2693461195,3/20/2020 13:30:20,5532335650,3/20/2020 13:28:29,false,feca,0.7667,45315255,VEN,26,Catia La Mar,186.14.199.192,pleasant,Presenting new look Refreshing commitment create better stories greater impact enhanced…,excitement,
2693461196,3/20/2020 13:28:54,5532333685,3/20/2020 13:27:59,false,feca,0.8,45686939,USA,FL,Miami,38.132.125.50,surprise,This everyone three weeks There one outside …,excitement,
2693461196,3/20/2020 13:29:13,5532334074,3/20/2020 13:28:00,false,feca,0.8,45601323,USA,NY,Brooklyn,206.217.139.201,angry,This everyone three weeks There one outside …,excitement,
2693461196,3/20/2020 14:59:33,5532475856,3/20/2020 14:58:28,false,neodev,0.55,40993983,UKR,14,Zakotne,188.190.221.47,angry,This everyone three weeks There one outside …,excitement,
2693461197,3/20/2020 13:28:56,5532333737,3/20/2020 13:28:03,false,feca,1.0,45598522,USA,NY,New York,23.108.24.107,pleasant,Tune 0am Sunday watch episode Best Walks A View Julia Bradbury Wonder will…,excitement,
2693461197,3/20/2020 14:06:10,5532394318,3/20/2020 13:58:07,false,feca,0.6667,45353204,MDA,60,Balti,109.185.185.184,pleasant,Tune 0am Sunday watch episode Best Walks A View Julia Bradbury Wonder will…,excitement,
2693461197,3/20/2020 14:10:18,5532401284,3/20/2020 13:58:06,false,feca,0.5333,45456415,VEN,15,Santa Teresa,200.93.118.39,excitement,Tune 0am Sunday watch episode Best Walks A View Julia Bradbury Wonder will…,excitement,
2693461198,3/20/2020 13:29:45,5532334766,3/20/2020 13:27:55,false,feca,1.0,45541073,USA,VA,Manassas,172.241.239.208,pleasant,Often attention make learning fun focused elementary early childhood education ages however i…,excitement,
2693461198,3/20/2020 13:37:29,5532345984,3/20/2020 13:27:55,false,clixsense,0.7,45054305,UKR,03,Chernivtsi,176.120.43.230,fear,Often attention make learning fun focused elementary early childhood education ages however i…,excitement,
2693461198,3/20/2020 14:30:31,5532431483,3/20/2020 14:28:17,false,clixsense,0.5333,43723980,SRB,00,Obrenovac,212.69.30.49,fear,Often attention make learning fun focused elementary early childhood education ages however i…,excitement,
2693461199,3/20/2020 13:40:02,5532349763,3/20/2020 13:31:05,false,feca,1.0,45241997,RUS,"","",185.173.93.155,excitement,This pup MOST excited,excitement,
2693461199,3/20/2020 14:00:20,5532380540,3/20/2020 13:58:07,false,clixsense,0.6,45093697,RUS,48,Moscow,109.248.222.45,surprise,This pup MOST excited,excitement,
2693461199,3/20/2020 14:59:54,5532476481,3/20/2020 14:58:26,false,feca,0.4048,45188227,RUS,54,Omsk,81.23.204.106,excitement,This pup MOST excited,excitement,
2693461200,3/20/2020 13:28:56,5532333726,3/20/2020 13:27:56,false,clixsense,1.0,45663022,USA,TX,Dallas,96.44.189.50,excitement,Tune 0am Sunday watch episode Best Walks A View Julia Bradbury Wonder where…,excitement,
2693461200,3/20/2020 13:33:40,5532340145,3/20/2020 13:28:49,false,feca,0.8,45233254,VEN,14,Mérida,200.82.210.175,excitement,Tune 0am Sunday watch episode Best Walks A View Julia Bradbury Wonder where…,excitement,
2693461200,3/20/2020 15:00:23,5532477285,3/20/2020 14:58:26,false,feca,0.5833,45649620,USA,AZ,Chandler,23.83.129.201,pleasant,Tune 0am Sunday watch episode Best Walks A View Julia Bradbury Wonder where…,excitement,
2693461201,3/20/2020 13:48:10,5532361857,3/20/2020 13:27:57,false,clixsense,0.6,45093697,RUS,48,Moscow,109.248.222.45,happy,Happy st day Spring,excitement,
2693461201,3/20/2020 13:51:50,5532367121,3/20/2020 13:27:57,false,feca,0.9,45636027,USA,NJ,Clifton,104.236.233.182,pleasant,Happy st day Spring,excitement,
2693461201,3/20/2020 15:00:23,5532477288,3/20/2020 14:58:26,false,feca,0.5833,45649620,USA,AZ,Chandler,23.83.129.201,happy,Happy st day Spring,excitement,
2693461202,3/20/2020 14:07:51,5532397378,3/20/2020 14:06:38,false,feca,0.7,45182297,BIH,02,Prijedor,134.90.134.235,surprise,MOVIE NEWS‼️ worldwide sales rights acquired The Exchange a…,excitement,
2693461202,3/20/2020 14:09:48,5532400611,3/20/2020 14:08:17,false,clixsense,0.5,45053499,RUS,48,Moscow,109.248.222.155,pleasant,MOVIE NEWS‼️ worldwide sales rights acquired The Exchange a…,excitement,
2693461203,3/20/2020 13:51:50,5532367119,3/20/2020 13:27:57,false,feca,0.9,45636027,USA,NJ,Clifton,104.236.233.182,surprise,Who rooting Enrico OFFICIAL BEHIND THE SCENES IS OUT NOW🤩,excitement,
2693461203,3/20/2020 14:07:56,5532397553,3/20/2020 13:58:06,false,clixsense,0.5333,44423530,VEN,15,Santa Teresa,200.93.118.39,excitement,Who rooting Enrico OFFICIAL BEHIND THE SCENES IS OUT NOW🤩,excitement,
2693461203,3/20/2020 15:00:23,5532477284,3/20/2020 14:58:26,false,feca,0.5833,45649620,USA,AZ,Chandler,23.83.129.201,surprise,Who rooting Enrico OFFICIAL BEHIND THE SCENES IS OUT NOW🤩,excitement,
2693461204,3/20/2020 14:07:51,5532397366,3/20/2020 14:06:38,false,feca,0.7,45182297,BIH,02,Prijedor,134.90.134.235,excitement,…,excitement,
2693461204,3/20/2020 14:18:10,5532413320,3/20/2020 14:09:35,false,feca,0.6667,45256649,RUS,48,Moscow,109.248.222.37,pleasant,…,excitement,
2693461205,3/20/2020 13:28:44,5532333469,3/20/2020 13:27:54,false,feca,1.0,45531504,USA,VA,Manassas,23.105.1.181,pleasant,Does anyone sleep How It keeps never sleep …,excitement,
2693461205,3/20/2020 15:03:09,5532481681,3/20/2020 14:58:26,false,neodev,0.5667,45215691,VEN,13,Barquisimeto,190.200.178.155,surprise,Does anyone sleep How It keeps never sleep …,excitement,
2693461205,3/20/2020 15:12:05,5532496774,3/20/2020 15:11:31,false,clixsense,0.0,44476229,TUR,38,Kayseri,88.230.41.189,fear,Does anyone sleep How It keeps never sleep …,excitement,
2693461206,3/20/2020 13:28:56,5532333731,3/20/2020 13:28:03,false,feca,1.0,45598522,USA,NY,New York,23.108.24.107,excitement,first tweet Excited learn🤩,excitement,
2693461206,3/20/2020 13:59:10,5532378428,3/20/2020 13:58:07,false,feca,0.9,45162051,VEN,04,Maracay,201.208.105.110,excitement,first tweet Excited learn🤩,excitement,
2693461206,3/20/2020 14:04:56,5532391642,3/20/2020 13:58:08,false,feca,0.5833,45649620,USA,AZ,Chandler,23.83.129.201,excitement,first tweet Excited learn🤩,excitement,
2693461207,3/20/2020 13:31:07,5532336723,3/20/2020 13:28:04,false,neodev,1.0,44311593,VEN,25,Caracas,190.142.253.189,pleasant,I know gon na start stuff got never put use,excitement,
2693461207,3/20/2020 14:09:10,5532399505,3/20/2020 14:03:26,false,feca,0.5667,45536000,RUS,48,Moscow,45.146.230.66,fear,I know gon na start stuff got never put use,excitement,
2693461207,3/20/2020 14:59:33,5532475850,3/20/2020 14:58:28,false,neodev,0.55,40993983,UKR,14,Zakotne,188.190.221.47,angry,I know gon na start stuff got never put use,excitement,
2693461208,3/20/2020 13:28:56,5532333728,3/20/2020 13:27:56,false,clixsense,1.0,45663022,USA,TX,Dallas,96.44.189.50,surprise,We watch time,excitement,
2693461208,3/20/2020 13:33:40,5532340144,3/20/2020 13:28:49,false,feca,0.8,45233254,VEN,14,Mérida,200.82.210.175,pleasant,We watch time,excitement,
2693461208,3/20/2020 14:58:58,5532474865,3/20/2020 14:58:27,false,feca,0.3333,45699544,USA,VA,Manassas,23.105.0.118,fear,We watch time,excitement,
