id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1240982078214361093,Fri Mar 20 12:42:38 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Just taking a nap after eating all the strawberry jam 🐶
#funny #puppy #fun #FunniestTweets #dogs #strawberry… https://t.co/lK47A9NXZx",Just taking nap eating strawberry jam …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,iampruthuvi,False,"funny, puppy, fun, FunniestTweets, dogs, strawberry",,"Barking, London",
1240980470579503104,Fri Mar 20 12:36:15 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@ClayTravis  #mad dat nota Monroe syn. I'm hungry &amp; chick double  up  XL. https://t.co/ssuzuGZtCJ,dat nota Monroe syn I 'm hungry amp chick double XL,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,Frankie55341361,False,mad,ClayTravis,,
1240978703707975682,Fri Mar 20 12:29:13 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Probably the best value online #Business #Accountability #Coaching group in the world!

https://t.co/8yN9pSQGTU

He… https://t.co/coOoYQo5h1",Probably best value online group world He…,"Sentiment(polarity=1.0, subjectivity=0.3)",1.0,0.3,en,0,0,AshMindSet,False,"Business, Accountability, Coaching",,Kent,
1240978664784908289,Fri Mar 20 12:29:04 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@AnthonyNBC12 @CandiceNBC12 @NBC12 It’s bullshit that @AltriaNews #CEOs gets a test when I know people who were den… https://t.co/1UwY7Mz67D,It ’ bullshit gets test I know people den…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,electrik_chair,,CEOs,"AnthonyNBC12, CandiceNBC12, NBC12, AltriaNews","Virginia, USA",
1240978003422851073,Fri Mar 20 12:26:26 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @subahive: Got no water but I can't leave the room since there's a corpse in it. #Mad the impaler,Got water I ca n't leave room since 's corpse impaler,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,3,revuwution,,Mad,subahive,"East Plano Islamic Center, TX",
1240977885634138113,Fri Mar 20 12:25:58 +0000 2020,"<a href=""https://sailor.green"" rel=""nofollow"">subahive bot</a>",Got no water but I can't leave the room since there's a corpse in it. #Mad the impaler,Got water I ca n't leave room since 's corpse impaler,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,4,3,subahive,,Mad,,Tweets every 25 minutes,
1240976207837044736,Fri Mar 20 12:19:18 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@SadiqKhan cancel the congestion and ULEZ charge so we don't have to use TFL!

This government directive has so man… https://t.co/gUatQIBVEO",cancel congestion ULEZ charge n't use TFL This government directive man…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,lil_m_t,,,SadiqKhan,London,
1240976002932600832,Fri Mar 20 12:18:29 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Of course MELODY LANE's sire ORFEVRE did this in the Hanshin Diashoten of 2012 so there is family history there… https://t.co/7qWLUt1GGv,Of course MELODY LANE 's sire ORFEVRE Hanshin Diashoten family history there…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,1,0,LongBallToNoOne,False,,,Tokyo,
1240975192085667847,Fri Mar 20 12:15:16 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@BillGates on the next epidemic outbreak back in 2015 - and we were still not ready... #leadership #change #MAD… https://t.co/EqPzcDn9ER,next epidemic outbreak back still ready ... …,"Sentiment(polarity=0.06666666666666667, subjectivity=0.16666666666666666)",0.06666666666666667,0.16666666666666666,en,0,0,Prof_RuneTBy,False,"leadership, change, MAD",BillGates,"Stavanger, Norway",
1240974113046515712,Fri Mar 20 12:10:59 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@dbongino Tim Kaine wouldn’t see good if it sat in front of him. Keep lying and spreading the hate. #angry Democrat,Tim Kaine ’ see good sat front Keep lying spreading hate Democrat,"Sentiment(polarity=-0.050000000000000044, subjectivity=0.75)",-0.050000000000000044,0.75,en,0,0,YahErbaugh,,angry,dbongino,,
