id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1240981531910443008,Fri Mar 20 12:40:28 +0000 2020,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @Chenbariatrics1: Pic is NOT my colleague. Posted from physician group. 

Feeling #sad. 😢 beyond #scared #Sick with concern. More #tired…",Pic NOT colleague Posted physician group Feeling beyond concern More …,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,en,0,44,NorahWong5,,"sad, scared, Sick, tired",Chenbariatrics1,,
1240981139994664960,Fri Mar 20 12:38:54 +0000 2020,"<a href=""http://www.myplume.com/"" rel=""nofollow"">Plume for Android</a>","RT @Sealdiver: There is PLENTY, I say again, PLENTY of food &amp; provisions in the SUPPLY CHAIN for supermarkets- reason for some empty shelve…",There PLENTY I say PLENTY food amp provisions SUPPLY CHAIN supermarkets- reason empty shelve…,"Sentiment(polarity=-0.1, subjectivity=0.5)",-0.1,0.5,en,0,4,taldragon,,,Sealdiver,,
1240980838805839873,Fri Mar 20 12:37:42 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Chenbariatrics1: Pic is NOT my colleague. Posted from physician group. 

Feeling #sad. 😢 beyond #scared #Sick with concern. More #tired…",Pic NOT colleague Posted physician group Feeling beyond concern More …,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,en,0,44,e2osama,,"sad, scared, Sick, tired",Chenbariatrics1,الثورة أسلوب حياة ,
1240980755943010304,Fri Mar 20 12:37:23 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @sweposten: #Kashmir protests continue

Friday prayers have become the focal point for protests in #Srinagar since 🇮🇳’s decision to #Rev…",protests continue Friday prayers become focal point protests since 🇮🇳 ’ decision …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,1,Optimuspanky,,"Kashmir, Srinagar",sweposten,,
1240980609377406989,Fri Mar 20 12:36:48 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@ScaryHighlander @BritanniaLtd Bloody disgraceful . Another business to be ignored when this is all over #disgusted,Bloody disgraceful Another business ignored,"Sentiment(polarity=-0.8, subjectivity=0.9)",-0.8,0.9,en,0,0,geoff62132300,,disgusted,"ScaryHighlander, BritanniaLtd",,
1240980490217295872,Fri Mar 20 12:36:19 +0000 2020,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>",The Epic Mental Framework You Need To Master Any Skill and Defeat Fear and Uncertainty with Josh Kaufman… https://t.co/QXZBng19Fu,The Epic Mental Framework You Need To Master Any Skill Defeat Fear Uncertainty Josh Kaufman…,"Sentiment(polarity=0.0, subjectivity=0.30000000000000004)",0.0,0.30000000000000004,en,0,0,MattBodnar,False,,,Nashville,
1240979949504196608,Fri Mar 20 12:34:10 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @magtell: @DanMCalgary @advisorrob @gilly_billy @lulu162606lulug @ChrisJansing @ButtlerSue David Icke -- The Truth Behind The Coronaviru…,David Icke -- The Truth Behind The Coronaviru…,"Sentiment(polarity=-0.4, subjectivity=0.7)",-0.4,0.7,en,0,2,LyndaE222,,,"magtell, DanMCalgary, advisorrob, gilly_billy, lulu162606lulug, ChrisJansing, ButtlerSue",,
1240979938393690113,Fri Mar 20 12:34:08 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#Kashmir protests continue

Friday prayers have become the focal point for protests in #Srinagar since 🇮🇳’s decisio… https://t.co/sdNZXztdyO",protests continue Friday prayers become focal point protests since 🇮🇳 ’ decisio…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,1,1,sweposten,False,"Kashmir, Srinagar",,"Hyderabad, India",
1240979933587025920,Fri Mar 20 12:34:07 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @SKYGODZ_ANIME: EVACUATING PLANET EARTH!

 👽👽👽🛸🛸🛸
#aliens #ufos #extraterrestrials
#greys #greyaliens #abduction #military #government #…",EVACUATING PLANET EARTH …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,2,evangelineevanz,,"aliens, ufos, extraterrestrials, greys, greyaliens, abduction, military, government",SKYGODZ_ANIME,"Nicaragua, America Central",
1240979887105683456,Fri Mar 20 12:33:56 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @SKYGODZ_ANIME: EVACUATING PLANET EARTH!

 👽👽👽🛸🛸🛸
#aliens #ufos #extraterrestrials
#greys #greyaliens #abduction #military #government #…",EVACUATING PLANET EARTH …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,2,omarfromuk,,"aliens, ufos, extraterrestrials, greys, greyaliens, abduction, military, government",SKYGODZ_ANIME,"England, United Kingdom",
