id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1240304414122029057,Wed Mar 18 15:49:50 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",I keep seeing articles about how to survive working from home &amp; I get that it may be difficult for some...but for t… https://t.co/dXE1SK6GGQ,I keep seeing articles survive working home amp I get may difficult ... t…,"Sentiment(polarity=-0.5, subjectivity=1.0)",-0.5,1.0,en,0,0,allieoops_x,,,,"Des Moines, IA",
1240304411076726785,Wed Mar 18 15:49:49 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @AGeekwithaHat: The news has been pretty occupied with coronavirus lately, so you may have missed this piece of good news:

As of March…",The news pretty occupied coronavirus lately may missed piece good news As March…,"Sentiment(polarity=0.21666666666666665, subjectivity=0.7333333333333334)",0.21666666666666665,0.7333333333333334,en,0,0,karyssadwipa,,,AGeekwithaHat,Indonesia,
1240304406861680640,Wed Mar 18 15:49:48 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @SkyeCity_: Official Covid 19 advice is don't call 111 unless you can't cope. Only the most serious cases get hospital treatment. Otherw…,Official Covid advice n't call unless ca n't cope Only serious cases get hospital treatment Otherw…,"Sentiment(polarity=-0.16666666666666666, subjectivity=0.8333333333333333)",-0.16666666666666666,0.8333333333333333,en,0,225,ArfurAyes,,,SkyeCity_,,
1240304402683924481,Wed Mar 18 15:49:47 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @daddydanie12: coronavirus has to be a man the way he keeps fucking shit up,coronavirus man way keeps fucking shit,"Sentiment(polarity=-0.2, subjectivity=0.8)",-0.2,0.8,en,0,82541,viiolentends,,,daddydanie12,"Los Angeles, CA",
1240304398477254657,Wed Mar 18 15:49:46 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @DailyCaller: Pompeo Blames Chinese Communist Party For Global ‘Suffering’ Due COVID-19 https://t.co/sWVub543rX,Pompeo Blames Chinese Communist Party For Global ‘ Suffering ’ Due COVID-19,"Sentiment(polarity=-0.041666666666666664, subjectivity=0.125)",-0.041666666666666664,0.125,en,0,0,Rachael1776,False,,DailyCaller,,
1240304394291331073,Wed Mar 18 15:49:45 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @moyensdebord: @MaxBlumenthal Blumenthal, you poor hack.
Early Warning Doctors (some now dead) in Wuhan started agitating about this dis…",Blumenthal poor hack Early Warning Doctors dead Wuhan started agitating dis…,"Sentiment(polarity=-0.16666666666666666, subjectivity=0.4333333333333333)",-0.16666666666666666,0.4333333333333333,en,0,660,WyrdChyk,,,"moyensdebord, MaxBlumenthal","Los Angeles, CA",
1240304390046711810,Wed Mar 18 15:49:44 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @nytimes: In Opinion

""That timeline suggests that your kids are not going back to school on April 1,"" write three experts. ""Plan for so…",In Opinion `` That timeline suggests kids going back school April '' write three eerts `` Plan so…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,662,Logist_BCB,,,nytimes,"Central Europe, mostly",
1240304385894354952,Wed Mar 18 15:49:43 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @kathleen_hanley: watching that video of vanessa hudgens talking about coronavirus https://t.co/tekb2ZD4w2,watching video vanessa hudgens talking coronavirus,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,114,GabGross,False,,kathleen_hanley,"Atlanta, GA",
1240304381691604994,Wed Mar 18 15:49:42 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Amy_Siskind: “Even after Mr. Trump committed to supporting the states on Tuesday, the Army Corps of Engineers said it still had not rec…",“ Even Mr. Trump committed supporting states Tuesday Army Corps Engineers said still rec…,"Sentiment(polarity=0.25, subjectivity=0.25)",0.25,0.25,en,0,6498,GeneBarr9,,,Amy_Siskind,,
1240304377505726467,Wed Mar 18 15:49:41 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @kapsology: The number of confirmed #coronavirus cases in India are 151 as of today. 

Next one week is going to be very crucial for our…",The number confirmed cases India today Next one week going crucial our…,"Sentiment(polarity=0.13333333333333333, subjectivity=0.6666666666666666)",0.13333333333333333,0.6666666666666666,en,0,1044,Imwadewilson_,,coronavirus,kapsology,,
1240304373307191305,Wed Mar 18 15:49:40 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",The Corona virus has proven to the world that human beings are the Lord and that He alone can find a cure. At the s… https://t.co/yzYE8IM4qH,The Corona virus proven world human beings Lord He alone find cure At s…,"Sentiment(polarity=0.0, subjectivity=0.1)",0.0,0.1,en,0,43,cyrusalexi,,,,"Nashville, TN/ Tunis/ Russia",
1240304369121230849,Wed Mar 18 15:49:39 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @aesfetic_: Dont walk into my life and serve me with mediocrity. If I’ve given anyone the impression that I dont think alot of myself, I…",Dont walk life serve mediocrity If I ’ given anyone impression I dont think alot I…,"Sentiment(polarity=-0.2, subjectivity=0.2)",-0.2,0.2,en,0,140,iamSOMTO,,,aesfetic_,,
1240304364809420800,Wed Mar 18 15:49:38 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Fran_Neena20409: @lachlan @ncm53 A 34 yr old Chinese Doctor also died trying to get The Chinese Govt &amp; The World to pay attention.
#COV…",A yr old Chinese Doctor also died trying get The Chinese Govt amp The World pay attention …,"Sentiment(polarity=0.03333333333333333, subjectivity=0.06666666666666667)",0.03333333333333333,0.06666666666666667,en,0,37,tomomstar2,,,"Fran_Neena20409, lachlan, ncm53",東京,
1240304360741109761,Wed Mar 18 15:49:37 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @cottoncandaddy: my favourite consequence of the covid-19 societal lockdown is aquarium penguins roaming around freely and when this is…,favourite consequence covid-19 societal lockdown aquarium penguins roaming around freely is…,"Sentiment(polarity=0.4, subjectivity=0.8)",0.4,0.8,en,0,408,marsxtina,,,cottoncandaddy,Canada,
1240304356551000065,Wed Mar 18 15:49:36 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @kathleen_hanley: watching that video of vanessa hudgens talking about coronavirus https://t.co/tekb2ZD4w2,watching video vanessa hudgens talking coronavirus,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,4,elimia024,False,,kathleen_hanley,"Mexico, MO",
1240304352339857408,Wed Mar 18 15:49:35 +0000 2020,"<a href=""https://coschedule.com"" rel=""nofollow"">CoSchedule</a>",Coronavirus got you down? Here are 9 fun ways to make the most of your time while social distancing ✨ https://t.co/9dbA4gpAzZ,Coronavirus got Here fun ways make time social distancing,"Sentiment(polarity=0.16666666666666666, subjectivity=0.13333333333333333)",0.16666666666666666,0.13333333333333333,en,0,103,OldfatherGroup,False,,,,
